модель,AUROC,macro_f1
случайный лес,0.8876054900966127,0.7289154643458822
экстра-деревья,0.8600166593649842,0.7139862512742748
градиентный бустинг,0.8768893103368767,0.7099616132838046
стекинг,0.8891936060319584,0.7162592279246209
