,precision,recall,f1-score,support
низкий (≤3),0.6,0.7741935483870968,0.676056338028169,31.0
нормальный (4–15),0.7450980392156863,0.6666666666666666,0.7037037037037037,57.0
высокий (>15),0.6,0.46153846153846156,0.5217391304347826,13.0
accuracy,0.6732673267326733,0.6732673267326733,0.6732673267326733,0.6732673267326733
macro avg,0.6483660130718955,0.6341328921974084,0.6338330573888852,101.0
weighted avg,0.6818870122306347,0.6732673267326733,0.6717966958973914,101.0
