метод,Брайер,ECE,AUROC
без калибровки,0.09630673492592448,0.07997732481051707,0.8870924508289331
Платт (сигмоида),0.08986700918356938,0.04142849003155339,0.8868071087643247
изотоническая,0.0902737668661159,0.022994678348508515,0.8819634992736748
