config,defective,n_train,n_test,n_feat,macro_f1,f1_ci,balanced_acc,D,T,F,S,C,R,V
M0 Корректная (Clean),0,2729,592,11,0.392,±0.0,0.4203,1.0,1.0,0.822,0.829,0.486,0.997,0.7581
D1 Утечка данных,1,2729,592,36,0.8547,±0.0,0.8227,1.0,0.0,0.094,0.981,0.129,1.0,0.0
D2 Ложный маркер,1,2729,592,12,0.3149,±0.0,0.3151,1.0,1.0,0.074,0.982,0.0,1.0,0.0
D3 Инверсия клинической логики,1,2729,592,11,0.3986,±0.0,0.4072,1.0,1.0,0.792,0.829,0.364,1.0,0.6991
D4 Нестабильная модель,1,818,592,11,0.3651,±0.0,0.3624,1.0,1.0,0.749,0.847,0.459,0.995,0.7337
D5 Ложное объяснение,1,2729,592,11,0.392,±0.0,0.4203,1.0,1.0,0.121,0.83,0.195,0.997,0.3737
D6 Технический идентификатор,1,2729,592,12,0.2995,±0.0,0.3333,1.0,1.0,0.0,1.0,0.0,1.0,0.0
