вариант,AUROC,пропущено дефектов,какие
полная V (D·T·(FSCR)^¼),1.0,0,—
без T,1.0,0,—
без F,0.8,1,D-F
без S,1.0,0,—
без C,1.0,1,D-C
без R,0.8,1,D-R
арифм. среднее (компенсаторное),1.0,1,D-C
только Accuracy,0.6,0,—
