config,тип,уровень,алгоритм,defective,seed,macro_f1,D,T,F,S,C,R,V,conf_coverage,conf_size
F подмена η=1.0,F,1.0,HistGB,1,20260802,0.3994,1.0,1.0,0.0147,0.7267,0.7426,0.6799,0.2709,0.902,1.657
S доля=0.05,S,0.05,HistGB,1,20260802,0.3149,1.0,1.0,0.7122,0.5389,0.5983,0.6793,0.6284,0.8564,1.681
S доля=0.1,S,0.1,HistGB,1,20260802,0.3526,1.0,1.0,0.6788,0.5081,0.555,0.6799,0.6006,0.8564,1.677
S доля=0.15,S,0.15,HistGB,1,20260802,0.3426,1.0,1.0,0.8085,0.5528,0.6001,0.685,0.6547,0.8666,1.654
S доля=0.25,S,0.25,HistGB,1,20260802,0.3273,1.0,1.0,0.7523,0.5936,0.6209,0.7072,0.6655,0.8564,1.615
S доля=0.4,S,0.4,HistGB,1,20260802,0.3641,1.0,1.0,1.0,0.5468,0.6702,0.6765,0.7056,0.8784,1.684
C инверсия η=0.05,C,0.05,HistGB,1,20260802,0.3811,1.0,1.0,0.7295,0.7663,0.6058,0.7173,0.702,0.8361,1.571
C инверсия η=0.1,C,0.1,HistGB,1,20260802,0.3631,1.0,1.0,0.6384,0.797,0.4367,0.7734,0.6438,0.7703,1.454
C инверсия η=0.2,C,0.2,HistGB,1,20260802,0.3174,1.0,1.0,0.5132,0.8416,0.2247,0.8401,0.5344,0.6351,1.321
C инверсия η=0.3,C,0.3,HistGB,1,20260802,0.2817,1.0,1.0,0.3597,0.8866,0.0932,0.9206,0.4067,0.5,1.159
R шум σ×0.25,R,0.25,HistGB,1,20260802,0.3773,1.0,1.0,0.7346,0.7314,0.7083,0.661,0.7082,0.9122,1.686
R шум σ×0.5,R,0.5,HistGB,1,20260802,0.3372,1.0,1.0,0.7173,0.702,0.6843,0.6655,0.692,0.9122,1.676
R шум σ×1.0,R,1.0,HistGB,1,20260802,0.3339,1.0,1.0,0.7976,0.6747,0.7081,0.6481,0.705,0.9155,1.713
R шум σ×1.5,R,1.5,HistGB,1,20260802,0.3364,1.0,1.0,0.7498,0.6883,0.6745,0.6593,0.6922,0.9139,1.689
R шум σ×2.0,R,2.0,HistGB,1,20260802,0.3311,1.0,1.0,0.7367,0.6741,0.6671,0.665,0.6851,0.8818,1.679
