config,тип,уровень,алгоритм,defective,seed,macro_f1,D,T,F,S,C,R,V,conf_coverage,conf_size
T утечка ρ=0.7,T,0.7,XGBoost,1,20260804,0.6565,1.0,0.0,0.3821,0.8622,0.6088,0.8232,0.0,0.9274,1.358
T утечка ρ=0.9,T,0.9,XGBoost,1,20260804,0.883,1.0,0.0,0.111,0.9576,0.5848,0.9679,0.0,0.9696,1.064
F подмена η=0.1,F,0.1,XGBoost,1,20260804,0.3967,1.0,1.0,0.5974,0.7146,0.7402,0.6639,0.6768,0.9105,1.699
F подмена η=0.25,F,0.25,XGBoost,1,20260804,0.3967,1.0,1.0,0.4993,0.7352,0.7402,0.6639,0.6517,0.9105,1.699
F подмена η=0.5,F,0.5,XGBoost,1,20260804,0.3967,1.0,1.0,0.3333,0.7248,0.7402,0.6639,0.587,0.9105,1.699
F подмена η=0.75,F,0.75,XGBoost,1,20260804,0.3967,1.0,1.0,0.1663,0.7447,0.7402,0.6639,0.4967,0.9105,1.699
F подмена η=1.0,F,1.0,XGBoost,1,20260804,0.3967,1.0,1.0,0.0131,0.7241,0.7402,0.6639,0.2612,0.9105,1.699
S доля=0.05,S,0.05,XGBoost,1,20260804,0.297,1.0,1.0,0.9342,0.4077,0.5158,0.6515,0.5981,0.8412,1.726
S доля=0.1,S,0.1,XGBoost,1,20260804,0.3593,1.0,1.0,0.9278,0.6114,0.5987,0.7179,0.7027,0.8378,1.595
S доля=0.15,S,0.15,XGBoost,1,20260804,0.3299,1.0,1.0,0.9706,0.5591,0.6581,0.6833,0.7029,0.8497,1.664
S доля=0.25,S,0.25,XGBoost,1,20260804,0.3154,1.0,1.0,1.0,0.5575,0.6266,0.6965,0.7023,0.8547,1.625
S доля=0.4,S,0.4,XGBoost,1,20260804,0.375,1.0,1.0,1.0,0.5544,0.6752,0.6931,0.7137,0.8193,1.645
C инверсия η=0.05,C,0.05,XGBoost,1,20260804,0.3828,1.0,1.0,0.6034,0.7469,0.6039,0.7083,0.6626,0.8497,1.615
C инверсия η=0.1,C,0.1,XGBoost,1,20260804,0.3567,1.0,1.0,0.5591,0.7973,0.4453,0.7286,0.6167,0.8007,1.557
C инверсия η=0.2,C,0.2,XGBoost,1,20260804,0.3192,1.0,1.0,0.4471,0.8334,0.2369,0.8148,0.5178,0.6655,1.372
C инверсия η=0.3,C,0.3,XGBoost,1,20260804,0.2886,1.0,1.0,0.3199,0.8825,0.099,0.8922,0.3974,0.5338,1.218
R шум σ×0.25,R,0.25,XGBoost,1,20260804,0.3512,1.0,1.0,0.755,0.6491,0.6761,0.645,0.6799,0.9139,1.745
R шум σ×0.5,R,0.5,XGBoost,1,20260804,0.3184,1.0,1.0,0.8277,0.6177,0.6727,0.6548,0.6889,0.9003,1.716
R шум σ×1.0,R,1.0,XGBoost,1,20260804,0.3394,1.0,1.0,0.8874,0.5544,0.6885,0.6684,0.6898,0.8666,1.703
R шум σ×1.5,R,1.5,XGBoost,1,20260804,0.2829,1.0,1.0,0.9432,0.4964,0.6674,0.6706,0.6766,0.7889,1.699
R шум σ×2.0,R,2.0,XGBoost,1,20260804,0.3334,1.0,1.0,0.9589,0.486,0.6584,0.6506,0.6684,0.8091,1.762
D невозможный АМГ,D,0.1,XGBoost,1,20260804,0.3707,0.0,1.0,0.6955,0.6934,0.7053,0.6495,0.0,0.9037,1.731
D противоречие ИМТ,D,0.1,XGBoost,1,20260804,0.4129,0.0,1.0,0.6553,0.7393,0.7212,0.6774,0.0,0.9071,1.669
D пропуск АМГ,D,0.2,XGBoost,1,20260804,0.3785,0.0,1.0,0.6621,0.72,0.7332,0.656,0.0,0.9139,1.709
D ошибка единиц,D,0.1,XGBoost,1,20260804,0.3778,0.0,1.0,0.6936,0.7232,0.6932,0.6593,0.0,0.9071,1.716
