model,n_train,n_test,n_features,macro_f1,balanced_acc,D,T,F,S,C,R,V
Корректная (Clean),377,110,11,0.4727,0.4698,1.0,1.0,0.186,0.898,0.378,1.0,0.5015
Утечка (Leakage),377,110,40,0.9326,0.8974,1.0,0.0,0.0,1.0,0.363,1.0,0.0
