вариант,AUROC(все),D,T,F,S,C,R
полная V,0.729,1.0,1.0,0.861,0.545,0.906,0.114
без D,0.673,0.622,1.0,0.861,0.545,0.906,0.114
без T,0.693,1.0,0.807,0.861,0.545,0.906,0.114
без F,0.776,1.0,1.0,0.5,0.736,1.0,0.499
без S,0.732,1.0,1.0,0.825,0.535,0.906,0.176
без C,0.697,1.0,1.0,0.864,0.455,0.793,0.101
без R,0.721,1.0,1.0,0.867,0.486,0.899,0.118
арифм. среднее,0.732,1.0,1.0,0.863,0.526,0.953,0.106
только Macro-F1,0.516,0.51,0.163,0.5,0.67,0.849,0.5
