config,target,defective,macro_f1,D,T,F,S,C,R,V,status,верно?
M0 Корректная,—,0,0.392,1.0,1.0,0.834,0.745,0.743,0.897,0.8022,верифицировано,✓
D-T тихая утечка,T,1,0.397,1.0,0.0,0.657,0.739,0.707,0.889,0.0,ОТКЛОНЕНО,✓
D-F ложное объяснение,F,1,0.392,1.0,1.0,0.1,0.748,0.743,0.897,0.4725,ОТКЛОНЕНО,✓
D-S нестабильная,S,1,0.3399,1.0,1.0,0.824,0.481,0.636,0.799,0.6699,ОТКЛОНЕНО,✓
D-C инверсия логики,C,1,0.3337,1.0,1.0,0.809,0.743,0.555,0.898,0.7398,ОТКЛОНЕНО,✓
D-R неопределённость,R,1,0.392,1.0,1.0,1.0,0.746,0.743,0.1,0.4852,ОТКЛОНЕНО,✓
