вариант,AUROC(все),D,T,F,S,C,R
полная V,0.855,1.0,1.0,0.868,0.659,0.877,0.76
без D,0.802,0.63,1.0,0.868,0.658,0.877,0.76
без T,0.819,1.0,0.799,0.868,0.658,0.877,0.76
без F,0.912,1.0,1.0,0.54,1.0,1.0,0.967
без S,0.723,1.0,1.0,0.828,0.281,0.856,0.456
без C,0.767,1.0,1.0,0.869,0.496,0.568,0.674
без R,0.855,1.0,1.0,0.864,0.685,0.906,0.715
арифм. среднее,0.85,1.0,1.0,0.868,0.604,0.892,0.776
только Macro-F1,0.616,0.613,0.111,0.5,0.776,0.889,0.858
