config,тип,уровень,алгоритм,defective,seed,macro_f1,conf_coverage,conf_set_size,D,T,F,S,C,R,V
R сглаж. λ=0.1,R,0.1,LogReg,1,20260804,0.323,0.9122,1.698,1.0,1.0,0.3683,0.9785,0.611,0.6534,0.6159
R сглаж. λ=0.25,R,0.25,LogReg,1,20260804,0.323,0.9122,1.698,1.0,1.0,0.7425,0.9785,0.611,0.6534,0.7339
R сглаж. λ=0.5,R,0.5,LogReg,1,20260804,0.323,0.9122,1.698,1.0,1.0,1.0,0.9785,0.611,0.6534,0.7906
R сглаж. λ=0.75,R,0.75,LogReg,1,20260804,0.323,0.9122,1.698,1.0,1.0,1.0,0.9785,0.611,0.6534,0.7906
R сглаж. λ=0.9,R,0.9,LogReg,1,20260804,0.323,0.9122,1.698,1.0,1.0,1.0,0.9785,0.611,0.6534,0.7906
D невозможный АМГ,D,0.1,LogReg,1,20260804,0.3159,0.8209,1.627,0.0,1.0,0.174,0.9797,0.7761,0.6889,0.0
D противоречие ИМТ,D,0.1,LogReg,1,20260804,0.3472,0.9071,1.652,0.0,1.0,0.1993,0.9772,0.6129,0.6762,0.0
D пропуск АМГ,D,0.2,LogReg,1,20260804,0.3237,0.9189,1.706,0.0,1.0,0.192,0.9797,0.6035,0.6492,0.0
D ошибка единиц,D,0.1,LogReg,1,20260804,0.3245,0.8243,1.63,0.0,1.0,0.1758,0.9785,0.7742,0.6872,0.0
M0 эталон,—,0.0,RandomForest,0,20260802,0.4011,0.8902,1.606,1.0,1.0,0.6368,0.7634,0.7366,0.7035,0.7084
T утечка ρ=0.1,T,0.1,RandomForest,1,20260802,0.3931,0.9223,1.662,1.0,0.0,0.4288,0.7834,0.7173,0.6779,0.0
T утечка ρ=0.3,T,0.3,RandomForest,1,20260802,0.4374,0.9155,1.613,1.0,0.0,0.3852,0.8496,0.7136,0.7052,0.0
T утечка ρ=0.5,T,0.5,RandomForest,1,20260802,0.4696,0.9189,1.493,1.0,0.0,0.3412,0.8534,0.6591,0.759,0.0
T утечка ρ=0.7,T,0.7,RandomForest,1,20260802,0.5351,0.9206,1.282,1.0,0.0,0.3123,0.9066,0.5915,0.859,0.0
T утечка ρ=0.9,T,0.9,RandomForest,1,20260802,0.889,0.9291,1.0,1.0,0.0,0.1646,0.9753,0.5542,1.0,0.0
F подмена η=0.1,F,0.1,RandomForest,1,20260802,0.4011,0.8902,1.606,1.0,1.0,0.5731,0.7634,0.7366,0.7035,0.69
F подмена η=0.25,F,0.25,RandomForest,1,20260802,0.4011,0.8902,1.606,1.0,1.0,0.4776,0.7634,0.7366,0.7035,0.6593
F подмена η=0.5,F,0.5,RandomForest,1,20260802,0.4011,0.8902,1.606,1.0,1.0,0.3184,0.7634,0.7366,0.7035,0.5957
F подмена η=0.75,F,0.75,RandomForest,1,20260802,0.4011,0.8902,1.606,1.0,1.0,0.1592,0.7634,0.7366,0.7035,0.5009
F подмена η=1.0,F,1.0,RandomForest,1,20260802,0.4011,0.8902,1.606,1.0,1.0,0.0127,0.7634,0.7366,0.7035,0.2664
S доля=0.25,S,0.25,RandomForest,1,20260802,0.3661,0.9139,1.676,1.0,1.0,0.4502,0.8024,0.7008,0.6762,0.6432
S доля=0.4,S,0.4,RandomForest,1,20260802,0.3989,0.9122,1.657,1.0,1.0,0.5332,0.8138,0.6839,0.6793,0.6701
S доля=0.6,S,0.6,RandomForest,1,20260802,0.3978,0.902,1.618,1.0,1.0,0.5451,0.7872,0.7083,0.7033,0.6799
S доля=0.8,S,0.8,RandomForest,1,20260802,0.3627,0.8818,1.623,1.0,1.0,0.6083,0.7707,0.7366,0.6979,0.7007
C инверсия η=0.05,C,0.05,RandomForest,1,20260802,0.3876,0.9071,1.812,1.0,1.0,0.646,0.7742,0.579,0.618,0.6504
C инверсия η=0.1,C,0.1,RandomForest,1,20260802,0.3803,0.8885,2.1,1.0,1.0,0.5686,0.8169,0.4373,0.5397,0.5754
C инверсия η=0.2,C,0.2,RandomForest,1,20260802,0.334,0.9223,2.497,1.0,1.0,0.4762,0.866,0.2247,0.4488,0.4516
C инверсия η=0.3,C,0.3,RandomForest,1,20260802,0.2879,0.8615,2.438,1.0,1.0,0.3309,0.899,0.0983,0.471,0.3426
R сглаж. λ=0.1,R,0.1,RandomForest,1,20260802,0.4011,0.8902,1.606,1.0,1.0,0.5359,0.7634,0.7366,0.7035,0.6786
R сглаж. λ=0.25,R,0.25,RandomForest,1,20260802,0.4011,0.8902,1.606,1.0,1.0,0.6463,0.7634,0.7366,0.7035,0.7111
R сглаж. λ=0.5,R,0.5,RandomForest,1,20260802,0.4011,0.8902,1.605,1.0,1.0,1.0,0.7634,0.7366,0.7044,0.7933
R сглаж. λ=0.75,R,0.75,RandomForest,1,20260802,0.4011,0.8902,1.606,1.0,1.0,1.0,0.7634,0.7366,0.7035,0.7931
R сглаж. λ=0.9,R,0.9,RandomForest,1,20260802,0.4011,0.8902,1.606,1.0,1.0,1.0,0.7634,0.7366,0.7035,0.7931
D невозможный АМГ,D,0.1,RandomForest,1,20260802,0.39,0.8953,1.699,0.0,1.0,0.611,0.7498,0.6758,0.6768,0.0
D противоречие ИМТ,D,0.1,RandomForest,1,20260802,0.4078,0.8953,1.622,0.0,1.0,0.6157,0.7628,0.725,0.6965,0.0
D пропуск АМГ,D,0.2,RandomForest,1,20260802,0.4119,0.902,1.667,0.0,1.0,0.6035,0.771,0.7218,0.6737,0.0
D ошибка единиц,D,0.1,RandomForest,1,20260802,0.3953,0.897,1.694,0.0,1.0,0.6128,0.7447,0.6734,0.6793,0.0
M0 эталон,—,0.0,RandomForest,0,20260803,0.3937,0.8801,1.608,1.0,1.0,0.6416,0.7669,0.7088,0.7061,0.7045
T утечка ρ=0.1,T,0.1,RandomForest,1,20260803,0.3406,0.9155,1.632,1.0,0.0,0.4422,0.8084,0.7059,0.6903,0.0
T утечка ρ=0.3,T,0.3,RandomForest,1,20260803,0.4313,0.902,1.622,1.0,0.0,0.3894,0.8515,0.6839,0.6999,0.0
