config,тип,уровень,алгоритм,defective,seed,macro_f1,conf_coverage,conf_set_size,D,T,F,S,C,R,V
C инверсия η=0.05,C,0.05,HistGB,1,20260803,0.3791,0.8919,1.841,1.0,1.0,0.7588,0.7631,0.6027,0.6002,0.6765
C инверсия η=0.1,C,0.1,HistGB,1,20260803,0.3595,0.902,2.439,1.0,1.0,0.673,0.8049,0.44,0.4668,0.5775
C инверсия η=0.2,C,0.2,HistGB,1,20260803,0.3232,0.9155,2.497,1.0,1.0,0.5268,0.8445,0.2253,0.4409,0.4585
C инверсия η=0.3,C,0.3,HistGB,1,20260803,0.2884,0.8902,2.407,1.0,1.0,0.3481,0.9024,0.0937,0.4738,0.3437
R сглаж. λ=0.1,R,0.1,HistGB,1,20260803,0.3951,0.8986,1.66,1.0,1.0,0.8885,0.7317,0.7457,0.6782,0.7572
R сглаж. λ=0.25,R,0.25,HistGB,1,20260803,0.3951,0.8986,1.66,1.0,1.0,1.0,0.7317,0.7457,0.6782,0.78
R сглаж. λ=0.5,R,0.5,HistGB,1,20260803,0.3951,0.8986,1.66,1.0,1.0,1.0,0.7317,0.7457,0.6782,0.78
R сглаж. λ=0.75,R,0.75,HistGB,1,20260803,0.3951,0.8986,1.66,1.0,1.0,1.0,0.7317,0.7457,0.6782,0.78
R сглаж. λ=0.9,R,0.9,HistGB,1,20260803,0.3951,0.8986,1.66,1.0,1.0,1.0,0.7317,0.7457,0.6782,0.78
D невозможный АМГ,D,0.1,HistGB,1,20260803,0.3878,0.897,1.689,0.0,1.0,0.7753,0.7355,0.6787,0.6695,0.0
D противоречие ИМТ,D,0.1,HistGB,1,20260803,0.3889,0.902,1.666,0.0,1.0,0.7744,0.7317,0.7309,0.6751,0.0
D пропуск АМГ,D,0.2,HistGB,1,20260803,0.3857,0.8986,1.689,0.0,1.0,0.8017,0.7197,0.7306,0.6644,0.0
D ошибка единиц,D,0.1,HistGB,1,20260803,0.389,0.9003,1.682,0.0,1.0,0.7868,0.7286,0.6669,0.6757,0.0
M0 эталон,—,0.0,HistGB,0,20260804,0.3951,0.8986,1.66,1.0,1.0,0.78,0.7222,0.7457,0.6782,0.7306
T утечка ρ=0.1,T,0.1,HistGB,1,20260804,0.389,0.9189,1.704,1.0,0.0,0.6381,0.7159,0.7313,0.6579,0.0
T утечка ρ=0.3,T,0.3,HistGB,1,20260804,0.4307,0.9071,1.598,1.0,0.0,0.5778,0.7872,0.668,0.7117,0.0
T утечка ρ=0.5,T,0.5,HistGB,1,20260804,0.5003,0.9172,1.546,1.0,0.0,0.5448,0.7954,0.655,0.734,0.0
T утечка ρ=0.7,T,0.7,HistGB,1,20260804,0.5979,0.9122,1.318,1.0,0.0,0.3886,0.8461,0.6299,0.8423,0.0
T утечка ρ=0.9,T,0.9,HistGB,1,20260804,0.8557,0.9105,1.0,1.0,0.0,0.0992,0.9588,0.5623,1.0,0.0
F подмена η=0.1,F,0.1,HistGB,1,20260804,0.3951,0.8986,1.66,1.0,1.0,0.702,0.7222,0.7457,0.6782,0.7116
F подмена η=0.25,F,0.25,HistGB,1,20260804,0.3951,0.8986,1.66,1.0,1.0,0.585,0.7222,0.7457,0.6782,0.6799
F подмена η=0.5,F,0.5,HistGB,1,20260804,0.3951,0.8986,1.66,1.0,1.0,0.39,0.7222,0.7457,0.6782,0.6143
F подмена η=0.75,F,0.75,HistGB,1,20260804,0.3951,0.8986,1.66,1.0,1.0,0.195,0.7222,0.7457,0.6782,0.5166
F подмена η=1.0,F,1.0,HistGB,1,20260804,0.3951,0.8986,1.66,1.0,1.0,0.0156,0.7222,0.7457,0.6782,0.2747
S доля=0.25,S,0.25,HistGB,1,20260804,0.38,0.9071,1.703,1.0,1.0,0.7089,0.7564,0.6963,0.6672,0.7065
S доля=0.4,S,0.4,HistGB,1,20260804,0.3281,0.902,1.715,1.0,1.0,0.8731,0.7238,0.7092,0.6512,0.735
S доля=0.6,S,0.6,HistGB,1,20260804,0.4102,0.9003,1.736,1.0,1.0,0.8244,0.726,0.7216,0.643,0.7259
S доля=0.8,S,0.8,HistGB,1,20260804,0.3559,0.9122,1.686,1.0,1.0,0.8047,0.7336,0.7215,0.6661,0.7298
C инверсия η=0.05,C,0.05,HistGB,1,20260804,0.3791,0.8919,1.841,1.0,1.0,0.7633,0.7526,0.6027,0.6002,0.6752
C инверсия η=0.1,C,0.1,HistGB,1,20260804,0.3595,0.902,2.439,1.0,1.0,0.6753,0.7837,0.44,0.4668,0.5742
C инверсия η=0.2,C,0.2,HistGB,1,20260804,0.3232,0.9155,2.497,1.0,1.0,0.5258,0.8271,0.2253,0.4409,0.4559
C инверсия η=0.3,C,0.3,HistGB,1,20260804,0.2884,0.8902,2.407,1.0,1.0,0.3433,0.8917,0.0937,0.4738,0.3415
R сглаж. λ=0.1,R,0.1,HistGB,1,20260804,0.3951,0.8986,1.66,1.0,1.0,0.8698,0.7222,0.7457,0.6782,0.7508
R сглаж. λ=0.25,R,0.25,HistGB,1,20260804,0.3951,0.8986,1.66,1.0,1.0,1.0,0.7222,0.7457,0.6782,0.7774
R сглаж. λ=0.5,R,0.5,HistGB,1,20260804,0.3951,0.8986,1.66,1.0,1.0,1.0,0.7222,0.7457,0.6782,0.7774
R сглаж. λ=0.75,R,0.75,HistGB,1,20260804,0.3951,0.8986,1.66,1.0,1.0,1.0,0.7222,0.7457,0.6782,0.7774
R сглаж. λ=0.9,R,0.9,HistGB,1,20260804,0.3951,0.8986,1.66,1.0,1.0,1.0,0.7222,0.7457,0.6782,0.7774
D невозможный АМГ,D,0.1,HistGB,1,20260804,0.3915,0.9054,1.681,0.0,1.0,0.7772,0.7188,0.6707,0.6709,0.0
D противоречие ИМТ,D,0.1,HistGB,1,20260804,0.3995,0.9037,1.667,0.0,1.0,0.7725,0.726,0.7398,0.6743,0.0
D пропуск АМГ,D,0.2,HistGB,1,20260804,0.4024,0.8986,1.698,0.0,1.0,0.7986,0.7172,0.7247,0.6596,0.0
D ошибка единиц,D,0.1,HistGB,1,20260804,0.3891,0.8986,1.684,0.0,1.0,0.7728,0.7175,0.6515,0.672,0.0
M0 эталон,—,0.0,XGBoost,0,20260802,0.3875,0.9037,1.694,1.0,1.0,0.7026,0.7355,0.7383,0.6647,0.7096
T утечка ρ=0.1,T,0.1,XGBoost,1,20260802,0.4215,0.9172,1.674,1.0,0.0,0.5493,0.7469,0.7199,0.6737,0.0
T утечка ρ=0.3,T,0.3,XGBoost,1,20260802,0.4156,0.9155,1.627,1.0,0.0,0.5397,0.7463,0.6758,0.7007,0.0
T утечка ρ=0.5,T,0.5,XGBoost,1,20260802,0.478,0.902,1.475,1.0,0.0,0.4317,0.8173,0.6576,0.7689,0.0
T утечка ρ=0.7,T,0.7,XGBoost,1,20260802,0.5716,0.9122,1.345,1.0,0.0,0.3849,0.8397,0.6412,0.8294,0.0
T утечка ρ=0.9,T,0.9,XGBoost,1,20260802,0.8286,0.9037,1.0,1.0,0.0,0.1203,0.9582,0.584,1.0,0.0
F подмена η=0.1,F,0.1,XGBoost,1,20260802,0.3875,0.9037,1.694,1.0,1.0,0.6323,0.7355,0.7383,0.6647,0.6912
F подмена η=0.25,F,0.25,XGBoost,1,20260802,0.3875,0.9037,1.694,1.0,1.0,0.5269,0.7355,0.7383,0.6647,0.6604
F подмена η=0.5,F,0.5,XGBoost,1,20260802,0.3875,0.9037,1.694,1.0,1.0,0.3513,0.7355,0.7383,0.6647,0.5967
F подмена η=0.75,F,0.75,XGBoost,1,20260802,0.3875,0.9037,1.694,1.0,1.0,0.1756,0.7355,0.7383,0.6647,0.5018
F подмена η=1.0,F,1.0,XGBoost,1,20260802,0.3875,0.9037,1.694,1.0,1.0,0.0141,0.7355,0.7383,0.6647,0.2669
S доля=0.25,S,0.25,XGBoost,1,20260802,0.3351,0.9122,1.831,1.0,1.0,0.8251,0.7178,0.6669,0.6194,0.7033
S доля=0.4,S,0.4,XGBoost,1,20260802,0.3287,0.9172,1.747,1.0,1.0,0.6891,0.7688,0.6953,0.6498,0.6995
S доля=0.6,S,0.6,XGBoost,1,20260802,0.4014,0.8986,1.752,1.0,1.0,0.7849,0.7488,0.6818,0.6467,0.7135
S доля=0.8,S,0.8,XGBoost,1,20260802,0.3841,0.9071,1.703,1.0,1.0,0.7426,0.7229,0.7211,0.661,0.7112
C инверсия η=0.05,C,0.05,XGBoost,1,20260802,0.3737,0.9071,1.929,1.0,1.0,0.6817,0.7349,0.6159,0.5805,0.6505
C инверсия η=0.1,C,0.1,XGBoost,1,20260802,0.3551,0.9122,2.365,1.0,1.0,0.5956,0.797,0.4452,0.4809,0.5646
C инверсия η=0.2,C,0.2,XGBoost,1,20260802,0.326,0.9139,2.556,1.0,1.0,0.4803,0.8258,0.2348,0.4372,0.4492
C инверсия η=0.3,C,0.3,XGBoost,1,20260802,0.2907,0.897,2.495,1.0,1.0,0.3343,0.8784,0.0994,0.4575,0.34
R сглаж. λ=0.1,R,0.1,XGBoost,1,20260802,0.3875,0.9037,1.694,1.0,1.0,0.7732,0.7355,0.7383,0.6647,0.7268
R сглаж. λ=0.25,R,0.25,XGBoost,1,20260802,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7355,0.7383,0.6647,0.7751
R сглаж. λ=0.5,R,0.5,XGBoost,1,20260802,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7355,0.7383,0.6647,0.7751
R сглаж. λ=0.75,R,0.75,XGBoost,1,20260802,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7355,0.7383,0.6647,0.7751
R сглаж. λ=0.9,R,0.9,XGBoost,1,20260802,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7355,0.7383,0.6647,0.7751
D невозможный АМГ,D,0.1,XGBoost,1,20260802,0.3802,0.9054,1.733,0.0,1.0,0.7308,0.7118,0.7008,0.6526,0.0
D противоречие ИМТ,D,0.1,XGBoost,1,20260802,0.3897,0.902,1.676,0.0,1.0,0.7103,0.7435,0.7316,0.6729,0.0
D пропуск АМГ,D,0.2,XGBoost,1,20260802,0.3969,0.9088,1.703,0.0,1.0,0.6987,0.7403,0.7183,0.6582,0.0
D ошибка единиц,D,0.1,XGBoost,1,20260802,0.3739,0.897,1.713,0.0,1.0,0.7347,0.7092,0.6859,0.6582,0.0
M0 эталон,—,0.0,XGBoost,0,20260803,0.3875,0.9037,1.694,1.0,1.0,0.7108,0.7248,0.7383,0.6647,0.7091
T утечка ρ=0.1,T,0.1,XGBoost,1,20260803,0.3773,0.9206,1.696,1.0,0.0,0.6119,0.7393,0.7001,0.6655,0.0
T утечка ρ=0.3,T,0.3,XGBoost,1,20260803,0.4406,0.9257,1.63,1.0,0.0,0.5437,0.7631,0.6572,0.6974,0.0
T утечка ρ=0.5,T,0.5,XGBoost,1,20260803,0.5449,0.924,1.539,1.0,0.0,0.4838,0.7862,0.6416,0.7373,0.0
T утечка ρ=0.7,T,0.7,XGBoost,1,20260803,0.5918,0.9105,1.355,1.0,0.0,0.3638,0.8499,0.6576,0.8232,0.0
T утечка ρ=0.9,T,0.9,XGBoost,1,20260803,0.8675,0.9071,1.0,1.0,0.0,0.1253,0.9544,0.5733,1.0,0.0
F подмена η=0.1,F,0.1,XGBoost,1,20260803,0.3875,0.9037,1.694,1.0,1.0,0.6398,0.7248,0.7383,0.6647,0.6907
F подмена η=0.25,F,0.25,XGBoost,1,20260803,0.3875,0.9037,1.694,1.0,1.0,0.5331,0.7248,0.7383,0.6647,0.6599
F подмена η=0.5,F,0.5,XGBoost,1,20260803,0.3875,0.9037,1.694,1.0,1.0,0.3554,0.7248,0.7383,0.6647,0.5963
F подмена η=0.75,F,0.75,XGBoost,1,20260803,0.3875,0.9037,1.694,1.0,1.0,0.1777,0.7248,0.7383,0.6647,0.5014
F подмена η=1.0,F,1.0,XGBoost,1,20260803,0.3875,0.9037,1.694,1.0,1.0,0.0142,0.7248,0.7383,0.6647,0.2667
S доля=0.25,S,0.25,XGBoost,1,20260803,0.3661,0.9139,1.784,1.0,1.0,0.7911,0.7701,0.7107,0.6503,0.7285
S доля=0.4,S,0.4,XGBoost,1,20260803,0.3626,0.9122,1.725,1.0,1.0,0.7693,0.7321,0.7004,0.6568,0.7134
S доля=0.6,S,0.6,XGBoost,1,20260803,0.3883,0.9139,1.713,1.0,1.0,0.7734,0.7517,0.7015,0.6712,0.7233
S доля=0.8,S,0.8,XGBoost,1,20260803,0.4125,0.8953,1.699,1.0,1.0,0.7809,0.7378,0.7259,0.665,0.7262
C инверсия η=0.05,C,0.05,XGBoost,1,20260803,0.3737,0.9071,1.929,1.0,1.0,0.6819,0.7311,0.6159,0.5805,0.6498
C инверсия η=0.1,C,0.1,XGBoost,1,20260803,0.3551,0.9122,2.365,1.0,1.0,0.5953,0.7948,0.4452,0.4809,0.5641
C инверсия η=0.2,C,0.2,XGBoost,1,20260803,0.326,0.9139,2.556,1.0,1.0,0.5023,0.8385,0.2348,0.4372,0.456
C инверсия η=0.3,C,0.3,XGBoost,1,20260803,0.2907,0.897,2.495,1.0,1.0,0.3527,0.8796,0.0994,0.4575,0.3447
R сглаж. λ=0.1,R,0.1,XGBoost,1,20260803,0.3875,0.9037,1.694,1.0,1.0,0.783,0.7248,0.7383,0.6647,0.7265
R сглаж. λ=0.25,R,0.25,XGBoost,1,20260803,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7248,0.7383,0.6647,0.7723
R сглаж. λ=0.5,R,0.5,XGBoost,1,20260803,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7248,0.7383,0.6647,0.7723
R сглаж. λ=0.75,R,0.75,XGBoost,1,20260803,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7248,0.7383,0.6647,0.7723
R сглаж. λ=0.9,R,0.9,XGBoost,1,20260803,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7248,0.7383,0.6647,0.7723
D невозможный АМГ,D,0.1,XGBoost,1,20260803,0.367,0.8868,1.726,0.0,1.0,0.7225,0.7048,0.7116,0.6526,0.0
D противоречие ИМТ,D,0.1,XGBoost,1,20260803,0.397,0.9071,1.681,0.0,1.0,0.7112,0.7276,0.7248,0.672,0.0
D пропуск АМГ,D,0.2,XGBoost,1,20260803,0.3821,0.9105,1.72,0.0,1.0,0.7198,0.7102,0.7234,0.6515,0.0
D ошибка единиц,D,0.1,XGBoost,1,20260803,0.3608,0.8986,1.718,0.0,1.0,0.7444,0.6991,0.715,0.6546,0.0
M0 эталон,—,0.0,XGBoost,0,20260804,0.3875,0.9037,1.694,1.0,1.0,0.6997,0.7327,0.7383,0.6647,0.7082
T утечка ρ=0.1,T,0.1,XGBoost,1,20260804,0.3667,0.9223,1.704,1.0,0.0,0.586,0.7365,0.7025,0.6641,0.0
T утечка ρ=0.3,T,0.3,XGBoost,1,20260804,0.475,0.9172,1.593,1.0,0.0,0.4925,0.764,0.6968,0.7142,0.0
T утечка ρ=0.5,T,0.5,XGBoost,1,20260804,0.4239,0.9003,1.51,1.0,0.0,0.4625,0.8119,0.6452,0.75,0.0
T утечка ρ=0.7,T,0.7,XGBoost,1,20260804,0.5531,0.8936,1.301,1.0,0.0,0.3845,0.853,0.6246,0.8514,0.0
T утечка ρ=0.9,T,0.9,XGBoost,1,20260804,0.8926,0.9105,1.0,1.0,0.0,0.1109,0.9595,0.5732,1.0,0.0
F подмена η=0.1,F,0.1,XGBoost,1,20260804,0.3875,0.9037,1.694,1.0,1.0,0.6297,0.7327,0.7383,0.6647,0.6898
F подмена η=0.25,F,0.25,XGBoost,1,20260804,0.3875,0.9037,1.694,1.0,1.0,0.5248,0.7327,0.7383,0.6647,0.6591
F подмена η=0.5,F,0.5,XGBoost,1,20260804,0.3875,0.9037,1.694,1.0,1.0,0.3498,0.7327,0.7383,0.6647,0.5955
F подмена η=0.75,F,0.75,XGBoost,1,20260804,0.3875,0.9037,1.694,1.0,1.0,0.1749,0.7327,0.7383,0.6647,0.5008
F подмена η=1.0,F,1.0,XGBoost,1,20260804,0.3875,0.9037,1.694,1.0,1.0,0.014,0.7327,0.7383,0.6647,0.2663
S доля=0.25,S,0.25,XGBoost,1,20260804,0.3845,0.9105,1.769,1.0,1.0,0.7225,0.74,0.6465,0.6517,0.6889
S доля=0.4,S,0.4,XGBoost,1,20260804,0.3777,0.9172,1.802,1.0,1.0,0.8804,0.7023,0.7043,0.627,0.7228
S доля=0.6,S,0.6,XGBoost,1,20260804,0.3571,0.8919,1.731,1.0,1.0,0.7207,0.7194,0.694,0.6574,0.6974
S доля=0.8,S,0.8,XGBoost,1,20260804,0.3467,0.9155,1.731,1.0,1.0,0.7043,0.7336,0.711,0.6484,0.6986
C инверсия η=0.05,C,0.05,XGBoost,1,20260804,0.3737,0.9071,1.929,1.0,1.0,0.6653,0.7387,0.6159,0.5805,0.6474
C инверсия η=0.1,C,0.1,XGBoost,1,20260804,0.3551,0.9122,2.365,1.0,1.0,0.5856,0.7913,0.4452,0.4809,0.5612
C инверсия η=0.2,C,0.2,XGBoost,1,20260804,0.326,0.9139,2.556,1.0,1.0,0.4836,0.822,0.2348,0.4372,0.4495
C инверсия η=0.3,C,0.3,XGBoost,1,20260804,0.2907,0.897,2.495,1.0,1.0,0.3305,0.8749,0.0994,0.4575,0.3387
R сглаж. λ=0.1,R,0.1,XGBoost,1,20260804,0.3875,0.9037,1.694,1.0,1.0,0.7719,0.7327,0.7383,0.6647,0.7258
R сглаж. λ=0.25,R,0.25,XGBoost,1,20260804,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7327,0.7383,0.6647,0.7744
R сглаж. λ=0.5,R,0.5,XGBoost,1,20260804,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7327,0.7383,0.6647,0.7744
R сглаж. λ=0.75,R,0.75,XGBoost,1,20260804,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7327,0.7383,0.6647,0.7744
R сглаж. λ=0.9,R,0.9,XGBoost,1,20260804,0.3875,0.9037,1.694,1.0,1.0,1.0,0.7327,0.7383,0.6647,0.7744
D невозможный АМГ,D,0.1,XGBoost,1,20260804,0.3738,0.9071,1.73,0.0,1.0,0.7314,0.7165,0.6883,0.652,0.0
D противоречие ИМТ,D,0.1,XGBoost,1,20260804,0.3905,0.8986,1.672,0.0,1.0,0.6955,0.739,0.7349,0.6762,0.0
D пропуск АМГ,D,0.2,XGBoost,1,20260804,0.3964,0.9139,1.718,0.0,1.0,0.7008,0.7222,0.7208,0.6501,0.0
D ошибка единиц,D,0.1,XGBoost,1,20260804,0.3752,0.897,1.725,0.0,1.0,0.7339,0.7067,0.6954,0.6534,0.0
