вариант,AUROC(все),D,T,F,S,C,R
полная V,0.899,1.0,1.0,0.889,0.908,0.906,0.715
без D,0.828,0.503,1.0,0.889,0.907,0.906,0.715
без T,0.859,1.0,0.775,0.889,0.907,0.906,0.715
без F,0.855,1.0,1.0,0.521,1.0,1.0,0.669
без S,0.766,1.0,1.0,0.9,0.271,0.906,0.594
без C,0.826,1.0,1.0,0.899,0.743,0.601,0.704
без R,0.923,1.0,1.0,0.9,0.975,0.92,0.758
арифм. среднее,0.915,1.0,1.0,0.906,0.926,0.943,0.74
только Macro-F1,0.715,0.818,0.058,0.5,0.992,1.0,0.998
