модель,accuracy,macro_f1,kappa_quad
случайный лес,0.6732673267326733,0.6338330573888852,0.5678630853339672
ПРАВИЛО по АМГ,0.5643564356435643,0.5652777777777778,0.5064503518373729
логистическая регрессия,0.5148514851485149,0.5302522559275772,0.4362971516551194
градиентный бустинг,0.594059405940594,0.5272172899291543,0.4167979002624671
модель только на АМГ,0.504950495049505,0.5218457227913492,0.43014248828535906
