модель,accuracy,macro_f1,kappa_quad
градиентный бустинг,0.9770114942528736,0.9817966903073286,0.9717532467532468
экстра-деревья,0.8850574712643678,0.9126984126984127,0.8687782805429864
случайный лес,0.8505747126436781,0.8643480377372468,0.8345765686704695
ПРАВИЛО по АМГ (бейзлайн),0.6436781609195402,0.6456730812483693,0.6406395736175883
логистическая регрессия,0.5977011494252874,0.613991769547325,0.5582474974611924
модель только на АМГ,0.5057471264367817,0.49343759031151685,0.4890042343942085
