,precision,recall,f1-score,support
низкий (≤3),0.9666666666666667,0.9666666666666667,0.9666666666666667,30.0
нормальный (4–15),0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
высокий (>15),1.0,1.0,1.0,10.0
accuracy,0.9770114942528736,0.9770114942528736,0.9770114942528736,0.9770114942528736
macro avg,0.9817966903073286,0.9817966903073286,0.9817966903073286,87.0
weighted avg,0.9770114942528736,0.9770114942528736,0.9770114942528736,87.0
