config,target,defective,macro_f1,D,T,F,S,C,R,V,status,верно?
M0 Корректная,—,0,0.5115,1.0,1.0,0.802,0.752,0.845,0.936,0.8311,верифицировано,✓
D-T тихая утечка,T,1,0.5289,1.0,0.0,0.7,0.776,0.86,0.942,0.0,ОТКЛОНЕНО,✓
D-F ложное объяснение,F,1,0.5115,1.0,1.0,0.095,0.753,0.845,0.936,0.4877,ОТКЛОНЕНО,✓
D-S нестабильная,S,1,0.4917,1.0,1.0,0.861,0.41,0.797,0.811,0.6911,ОТКЛОНЕНО,✓
D-C инверсия логики,C,1,0.3996,1.0,1.0,0.685,0.761,0.532,0.937,0.714,ОТКЛОНЕНО,✓
D-R неопределённость,R,1,0.5115,1.0,1.0,1.0,0.75,0.845,0.109,0.5127,ОТКЛОНЕНО,✓
