config,тип,уровень,алгоритм,defective,seed,macro_f1,D,T,F,S,C,R,V,conf_coverage,conf_size,V_cal,macro_f1_cal,conf_coverage_cal
D пропуск АМГ,D,0.2,RandomForest,1,20260802,0.4708,0.0,1.0,0.4356,0.7903,0.8505,0.559,0.0,0.9244,1.915,0.0,0.4695,0.9119
D ошибка единиц,D,0.1,RandomForest,1,20260802,0.4933,0.0,1.0,0.4226,0.7957,0.9014,0.5593,0.0,0.9178,1.937,0.0,0.4742,0.9025
M0 эталон,—,0.0,RandomForest,0,20260803,0.5026,1.0,1.0,0.4236,0.8171,0.8767,0.5755,0.6464,0.9262,1.88,0.6673,0.4968,0.9157
T утечка ρ=0.1,T,0.1,RandomForest,1,20260803,0.5314,1.0,0.0,0.3735,0.8372,0.8811,0.5719,0.0,0.9253,1.875,0.0,0.4969,0.9222
T утечка ρ=0.3,T,0.3,RandomForest,1,20260803,0.5455,1.0,0.0,0.3511,0.8538,0.8754,0.5781,0.0,0.9449,1.867,0.0,0.5192,0.9344
T утечка ρ=0.5,T,0.5,RandomForest,1,20260803,0.5855,1.0,0.0,0.3376,0.8836,0.8517,0.6054,0.0,0.9402,1.803,0.0,0.582,0.9344
T утечка ρ=0.7,T,0.7,RandomForest,1,20260803,0.6728,1.0,0.0,0.3073,0.8993,0.8236,0.6743,0.0,0.9468,1.658,0.0,0.6355,0.9513
T утечка ρ=0.9,T,0.9,RandomForest,1,20260803,0.914,1.0,0.0,0.2074,0.9669,0.7783,0.8259,0.0,0.9832,1.35,0.0,0.9067,0.9841
F подмена η=0.1,F,0.1,RandomForest,1,20260803,0.5026,1.0,1.0,0.3883,0.8188,0.8767,0.5755,0.6328,0.9262,1.88,0.6554,0.4968,0.9157
F подмена η=0.25,F,0.25,RandomForest,1,20260803,0.5026,1.0,1.0,0.3168,0.8164,0.8767,0.5755,0.601,0.9262,1.88,0.626,0.4968,0.9157
F подмена η=0.5,F,0.5,RandomForest,1,20260803,0.5026,1.0,1.0,0.2123,0.8153,0.8767,0.5755,0.5436,0.9262,1.88,0.5638,0.4968,0.9157
F подмена η=0.75,F,0.75,RandomForest,1,20260803,0.5026,1.0,1.0,0.106,0.8204,0.8767,0.5755,0.4576,0.9262,1.88,0.4748,0.4968,0.9157
F подмена η=1.0,F,1.0,RandomForest,1,20260803,0.5026,1.0,1.0,0.0085,0.8255,0.8767,0.5755,0.2439,0.9262,1.88,0.2511,0.4968,0.9157
S доля=0.05,S,0.05,RandomForest,1,20260803,0.392,1.0,1.0,0.5403,0.3866,0.6902,0.6271,0.5483,0.8422,1.773,0.5748,0.4096,0.8154
S доля=0.1,S,0.1,RandomForest,1,20260803,0.4578,1.0,1.0,0.6628,0.3498,0.7127,0.6324,0.5686,0.8179,1.794,0.5728,0.4232,0.8154
S доля=0.15,S,0.15,RandomForest,1,20260803,0.4372,1.0,1.0,0.6907,0.4844,0.7693,0.7073,0.6532,0.8226,1.602,0.6592,0.4356,0.8219
S доля=0.25,S,0.25,RandomForest,1,20260803,0.4029,1.0,1.0,0.9228,0.4289,0.7066,0.6435,0.6513,0.8021,1.757,0.6437,0.4033,0.8172
S доля=0.4,S,0.4,RandomForest,1,20260803,0.4281,1.0,1.0,0.7263,0.4219,0.7791,0.6528,0.6283,0.8394,1.729,0.6506,0.4337,0.8201
C инверсия η=0.05,C,0.05,RandomForest,1,20260803,0.4116,1.0,1.0,0.4396,0.8239,0.678,0.5724,0.6123,0.888,1.893,0.6261,0.4245,0.8866
C инверсия η=0.1,C,0.1,RandomForest,1,20260803,0.3462,1.0,1.0,0.4382,0.8062,0.4133,0.612,0.5467,0.7544,1.808,0.5762,0.3591,0.7863
C инверсия η=0.2,C,0.2,RandomForest,1,20260803,0.2812,1.0,1.0,0.3394,0.8009,0.2092,0.6829,0.4439,0.6088,1.665,0.4616,0.2807,0.6054
C инверсия η=0.3,C,0.3,RandomForest,1,20260803,0.2292,1.0,1.0,0.2731,0.8479,0.0949,0.7627,0.3598,0.4659,1.498,0.3661,0.2209,0.4442
R шум σ×0.25,R,0.25,RandomForest,1,20260803,0.478,1.0,1.0,0.3595,0.8095,0.8762,0.516,0.6023,0.9477,2.036,0.5791,0.4617,0.9606
R шум σ×0.5,R,0.5,RandomForest,1,20260803,0.4386,1.0,1.0,0.352,0.8374,0.8896,0.498,0.6011,0.9552,2.106,0.5641,0.4485,0.9616
R шум σ×1.0,R,1.0,RandomForest,1,20260803,0.4266,1.0,1.0,0.3398,0.8262,0.8988,0.472,0.5874,0.9533,2.215,0.5437,0.4396,0.9672
R шум σ×1.5,R,1.5,RandomForest,1,20260803,0.3923,1.0,1.0,0.3234,0.8221,0.8888,0.4525,0.5718,0.9589,2.305,0.5458,0.3941,0.9569
R шум σ×2.0,R,2.0,RandomForest,1,20260803,0.3923,1.0,1.0,0.3253,0.7967,0.8827,0.4466,0.5654,0.9505,2.341,0.5366,0.3984,0.956
D невозможный АМГ,D,0.1,RandomForest,1,20260803,0.4612,0.0,1.0,0.401,0.8055,0.8967,0.563,0.0,0.9038,1.923,0.0,0.4857,0.9007
D противоречие ИМТ,D,0.1,RandomForest,1,20260803,0.4977,0.0,1.0,0.4209,0.8279,0.8788,0.5705,0.0,0.9272,1.893,0.0,0.4968,0.9175
D пропуск АМГ,D,0.2,RandomForest,1,20260803,0.4725,0.0,1.0,0.4353,0.7658,0.8367,0.5629,0.0,0.93,1.905,0.0,0.4787,0.9147
D ошибка единиц,D,0.1,RandomForest,1,20260803,0.4991,0.0,1.0,0.4103,0.8043,0.8988,0.5615,0.0,0.9169,1.926,0.0,0.4681,0.9044
M0 эталон,—,0.0,RandomForest,0,20260804,0.535,1.0,1.0,0.4316,0.8267,0.8801,0.5803,0.6534,0.9197,1.864,0.6664,0.4942,0.925
T утечка ρ=0.1,T,0.1,RandomForest,1,20260804,0.51,1.0,0.0,0.3677,0.8249,0.8854,0.584,0.0,0.9253,1.854,0.0,0.4908,0.9091
T утечка ρ=0.3,T,0.3,RandomForest,1,20260804,0.5441,1.0,0.0,0.3576,0.8566,0.8737,0.5791,0.0,0.9328,1.866,0.0,0.5179,0.9288
T утечка ρ=0.5,T,0.5,RandomForest,1,20260804,0.6107,1.0,0.0,0.3404,0.871,0.831,0.6368,0.0,0.9374,1.741,0.0,0.5666,0.9325
T утечка ρ=0.7,T,0.7,RandomForest,1,20260804,0.6756,1.0,0.0,0.3129,0.8899,0.8029,0.6562,0.0,0.9552,1.697,0.0,0.6363,0.9391
T утечка ρ=0.9,T,0.9,RandomForest,1,20260804,0.904,1.0,0.0,0.1879,0.9694,0.7835,0.8505,0.0,0.9767,1.3,0.0,0.8842,0.9747
F подмена η=0.1,F,0.1,RandomForest,1,20260804,0.535,1.0,1.0,0.3891,0.8183,0.8801,0.5803,0.635,0.9197,1.864,0.6507,0.4942,0.925
F подмена η=0.25,F,0.25,RandomForest,1,20260804,0.535,1.0,1.0,0.3229,0.8181,0.8801,0.5803,0.6061,0.9197,1.864,0.6225,0.4942,0.925
F подмена η=0.5,F,0.5,RandomForest,1,20260804,0.535,1.0,1.0,0.2177,0.8232,0.8801,0.5803,0.55,0.9197,1.864,0.5602,0.4942,0.925
F подмена η=0.75,F,0.75,RandomForest,1,20260804,0.535,1.0,1.0,0.1058,0.8197,0.8801,0.5803,0.4587,0.9197,1.864,0.4741,0.4942,0.925
F подмена η=1.0,F,1.0,RandomForest,1,20260804,0.535,1.0,1.0,0.0086,0.8104,0.8801,0.5803,0.2443,0.9197,1.864,0.2496,0.4942,0.925
S доля=0.05,S,0.05,RandomForest,1,20260804,0.4407,1.0,1.0,0.7908,0.3465,0.6312,0.6145,0.571,0.8189,1.811,0.5734,0.4255,0.8341
S доля=0.1,S,0.1,RandomForest,1,20260804,0.3999,1.0,1.0,0.7937,0.4326,0.7357,0.6933,0.6469,0.7871,1.632,0.6657,0.3948,0.7985
S доля=0.15,S,0.15,RandomForest,1,20260804,0.3671,1.0,1.0,0.9383,0.4048,0.6527,0.6726,0.639,0.7974,1.676,0.6231,0.373,0.7948
S доля=0.25,S,0.25,RandomForest,1,20260804,0.4237,1.0,1.0,0.9361,0.4669,0.7298,0.6488,0.6745,0.8385,1.737,0.6616,0.4242,0.836
S доля=0.4,S,0.4,RandomForest,1,20260804,0.4458,1.0,1.0,0.8425,0.4739,0.7545,0.6713,0.6706,0.8385,1.693,0.6945,0.444,0.8107
C инверсия η=0.05,C,0.05,RandomForest,1,20260804,0.4163,1.0,1.0,0.4352,0.834,0.6743,0.5624,0.6091,0.8898,1.915,0.6305,0.4276,0.8866
C инверсия η=0.1,C,0.1,RandomForest,1,20260804,0.349,1.0,1.0,0.4171,0.8141,0.4219,0.6198,0.5459,0.7516,1.787,0.5782,0.3695,0.7844
C инверсия η=0.2,C,0.2,RandomForest,1,20260804,0.2845,1.0,1.0,0.3419,0.8153,0.2097,0.686,0.4475,0.6088,1.648,0.4558,0.291,0.6017
C инверсия η=0.3,C,0.3,RandomForest,1,20260804,0.2277,1.0,1.0,0.2968,0.8626,0.0965,0.7649,0.3708,0.4603,1.492,0.3731,0.2189,0.4442
R шум σ×0.25,R,0.25,RandomForest,1,20260804,0.4843,1.0,1.0,0.3687,0.8107,0.8822,0.5279,0.6108,0.9346,1.988,0.5785,0.451,0.9485
R шум σ×0.5,R,0.5,RandomForest,1,20260804,0.4491,1.0,1.0,0.3528,0.8134,0.8813,0.5003,0.5964,0.9514,2.08,0.5621,0.4214,0.9531
R шум σ×1.0,R,1.0,RandomForest,1,20260804,0.4504,1.0,1.0,0.3388,0.81,0.8923,0.4753,0.5841,0.9542,2.191,0.5525,0.4107,0.9541
R шум σ×1.5,R,1.5,RandomForest,1,20260804,0.4276,1.0,1.0,0.3274,0.81,0.8824,0.4634,0.5739,0.9524,2.251,0.5393,0.363,0.9588
R шум σ×2.0,R,2.0,RandomForest,1,20260804,0.3674,1.0,1.0,0.3224,0.7708,0.8708,0.4577,0.561,0.9496,2.276,0.5349,0.3846,0.9597
D невозможный АМГ,D,0.1,RandomForest,1,20260804,0.5186,0.0,1.0,0.4222,0.7978,0.8966,0.5661,0.0,0.9038,1.909,0.0,0.4721,0.9157
D противоречие ИМТ,D,0.1,RandomForest,1,20260804,0.5421,0.0,1.0,0.4384,0.8232,0.883,0.5775,0.0,0.9216,1.871,0.0,0.4912,0.9297
D пропуск АМГ,D,0.2,RandomForest,1,20260804,0.4952,0.0,1.0,0.4321,0.7936,0.8447,0.5644,0.0,0.9206,1.892,0.0,0.4716,0.9222
D ошибка единиц,D,0.1,RandomForest,1,20260804,0.4949,0.0,1.0,0.4224,0.8023,0.8957,0.5657,0.0,0.9066,1.916,0.0,0.4983,0.9072
M0 эталон,—,0.0,HistGB,0,20260802,0.4989,1.0,1.0,0.7458,0.7701,0.8532,0.608,0.7388,0.9132,1.811,0.7279,0.5116,0.9016
T утечка ρ=0.1,T,0.1,HistGB,1,20260802,0.5246,1.0,0.0,0.5977,0.7596,0.8519,0.6201,0.0,0.9066,1.787,0.0,0.53,0.8988
T утечка ρ=0.3,T,0.3,HistGB,1,20260802,0.5362,1.0,0.0,0.5242,0.8151,0.8512,0.6651,0.0,0.887,1.687,0.0,0.517,0.8932
T утечка ρ=0.5,T,0.5,HistGB,1,20260802,0.5721,1.0,0.0,0.5081,0.7936,0.8499,0.6622,0.0,0.915,1.699,0.0,0.5837,0.9128
T утечка ρ=0.7,T,0.7,HistGB,1,20260802,0.6683,1.0,0.0,0.4382,0.8479,0.8223,0.7591,0.0,0.9197,1.484,0.0,0.6525,0.911
T утечка ρ=0.9,T,0.9,HistGB,1,20260802,0.916,1.0,0.0,0.1143,0.945,0.7744,0.9444,0.0,0.9655,1.111,0.0,0.9134,0.9588
F подмена η=0.1,F,0.1,HistGB,1,20260802,0.4989,1.0,1.0,0.6732,0.7644,0.8532,0.608,0.7188,0.9132,1.811,0.7181,0.5116,0.9016
F подмена η=0.25,F,0.25,HistGB,1,20260802,0.4989,1.0,1.0,0.5443,0.7482,0.8532,0.608,0.678,0.9132,1.811,0.6809,0.5116,0.9016
F подмена η=0.5,F,0.5,HistGB,1,20260802,0.4989,1.0,1.0,0.3668,0.7766,0.8532,0.608,0.62,0.9132,1.811,0.6156,0.5116,0.9016
F подмена η=0.75,F,0.75,HistGB,1,20260802,0.4989,1.0,1.0,0.1835,0.764,0.8532,0.608,0.5193,0.9132,1.811,0.5181,0.5116,0.9016
F подмена η=1.0,F,1.0,HistGB,1,20260802,0.4989,1.0,1.0,0.0147,0.7633,0.8532,0.608,0.2764,0.9132,1.811,0.2758,0.5116,0.9016
S доля=0.05,S,0.05,HistGB,1,20260802,0.4065,1.0,1.0,0.5737,0.4118,0.6835,0.6497,0.5691,0.8291,1.733,0.5451,0.4095,0.8238
S доля=0.1,S,0.1,HistGB,1,20260802,0.4796,1.0,1.0,0.5728,0.4063,0.753,0.6611,0.5834,0.8431,1.71,0.5859,0.4051,0.8032
S доля=0.15,S,0.15,HistGB,1,20260802,0.4548,1.0,1.0,0.7505,0.3036,0.7211,0.6539,0.5725,0.7806,1.73,0.5882,0.3952,0.7873
S доля=0.25,S,0.25,HistGB,1,20260802,0.4117,1.0,1.0,0.8102,0.4111,0.7514,0.6541,0.6361,0.8161,1.727,0.6277,0.4241,0.8126
S доля=0.4,S,0.4,HistGB,1,20260802,0.4084,1.0,1.0,0.7519,0.5021,0.7489,0.6919,0.6651,0.8151,1.639,0.6656,0.4252,0.8022
C инверсия η=0.05,C,0.05,HistGB,1,20260802,0.4055,1.0,1.0,0.6956,0.7717,0.6509,0.6429,0.6884,0.8282,1.742,0.687,0.4394,0.8407
C инверсия η=0.1,C,0.1,HistGB,1,20260802,0.3335,1.0,1.0,0.6411,0.7864,0.4227,0.6754,0.6159,0.7208,1.667,0.6396,0.3684,0.7423
C инверсия η=0.2,C,0.2,HistGB,1,20260802,0.2637,1.0,1.0,0.5935,0.8095,0.2059,0.7596,0.5235,0.5668,1.498,0.5275,0.2816,0.5661
C инверсия η=0.3,C,0.3,HistGB,1,20260802,0.207,1.0,1.0,0.4415,0.8417,0.0947,0.8324,0.4138,0.4043,1.346,0.4057,0.214,0.3936
R шум σ×0.25,R,0.25,HistGB,1,20260802,0.4752,1.0,1.0,0.6318,0.7771,0.8517,0.6176,0.7129,0.8982,1.785,0.7166,0.4286,0.865
R шум σ×0.5,R,0.5,HistGB,1,20260802,0.4412,1.0,1.0,0.5807,0.7887,0.8654,0.6281,0.7063,0.8665,1.769,0.699,0.4234,0.851
R шум σ×1.0,R,1.0,HistGB,1,20260802,0.4282,1.0,1.0,0.5122,0.8153,0.8822,0.6527,0.7003,0.8291,1.713,0.6735,0.3705,0.8182
R шум σ×1.5,R,1.5,HistGB,1,20260802,0.3849,1.0,1.0,0.4918,0.8279,0.8827,0.6539,0.6963,0.803,1.713,0.6705,0.3705,0.7957
R шум σ×2.0,R,2.0,HistGB,1,20260802,0.3638,1.0,1.0,0.4738,0.7995,0.8971,0.6461,0.6845,0.7993,1.728,0.6555,0.3681,0.8069
D невозможный АМГ,D,0.1,HistGB,1,20260802,0.4707,0.0,1.0,0.7479,0.7339,0.8823,0.6019,0.0,0.8842,1.825,0.0,0.4838,0.8707
D противоречие ИМТ,D,0.1,HistGB,1,20260802,0.4896,0.0,1.0,0.7504,0.7712,0.8505,0.619,0.0,0.9029,1.786,0.0,0.5123,0.8932
D пропуск АМГ,D,0.2,HistGB,1,20260802,0.4633,0.0,1.0,0.7696,0.754,0.8186,0.5999,0.0,0.9132,1.824,0.0,0.4736,0.8988
D ошибка единиц,D,0.1,HistGB,1,20260802,0.4641,0.0,1.0,0.7442,0.7309,0.8845,0.6021,0.0,0.8777,1.824,0.0,0.499,0.8791
M0 эталон,—,0.0,HistGB,0,20260803,0.4989,1.0,1.0,0.7525,0.7626,0.8532,0.608,0.7387,0.9132,1.811,0.7298,0.5116,0.9016
T утечка ρ=0.1,T,0.1,HistGB,1,20260803,0.5114,1.0,0.0,0.555,0.7852,0.8435,0.6206,0.0,0.8982,1.79,0.0,0.4953,0.8913
T утечка ρ=0.3,T,0.3,HistGB,1,20260803,0.522,1.0,0.0,0.6359,0.7911,0.8423,0.6369,0.0,0.9029,1.75,0.0,0.5228,0.8988
T утечка ρ=0.5,T,0.5,HistGB,1,20260803,0.6039,1.0,0.0,0.519,0.827,0.8523,0.704,0.0,0.9141,1.609,0.0,0.5549,0.8913
T утечка ρ=0.7,T,0.7,HistGB,1,20260803,0.6708,1.0,0.0,0.3955,0.841,0.8363,0.751,0.0,0.9122,1.5,0.0,0.7017,0.91
T утечка ρ=0.9,T,0.9,HistGB,1,20260803,0.8819,1.0,0.0,0.1736,0.9286,0.7769,0.9365,0.0,0.9561,1.127,0.0,0.8905,0.956
F подмена η=0.1,F,0.1,HistGB,1,20260803,0.4989,1.0,1.0,0.6682,0.763,0.8532,0.608,0.7171,0.9132,1.811,0.7156,0.5116,0.9016
F подмена η=0.25,F,0.25,HistGB,1,20260803,0.4989,1.0,1.0,0.5665,0.7651,0.8532,0.608,0.6886,0.9132,1.811,0.6793,0.5116,0.9016
F подмена η=0.5,F,0.5,HistGB,1,20260803,0.4989,1.0,1.0,0.37,0.7584,0.8532,0.608,0.6177,0.9132,1.811,0.6137,0.5116,0.9016
F подмена η=0.75,F,0.75,HistGB,1,20260803,0.4989,1.0,1.0,0.1879,0.7509,0.8532,0.608,0.5201,0.9132,1.811,0.5187,0.5116,0.9016
F подмена η=1.0,F,1.0,HistGB,1,20260803,0.4989,1.0,1.0,0.0148,0.767,0.8532,0.608,0.2768,0.9132,1.811,0.2751,0.5116,0.9016
S доля=0.05,S,0.05,HistGB,1,20260803,0.3867,1.0,1.0,0.6105,0.5207,0.7368,0.7045,0.6373,0.7918,1.591,0.6265,0.3821,0.7779
S доля=0.1,S,0.1,HistGB,1,20260803,0.4514,1.0,1.0,0.7938,0.3493,0.7019,0.6246,0.5905,0.8347,1.801,0.5547,0.4249,0.8032
S доля=0.15,S,0.15,HistGB,1,20260803,0.3975,1.0,1.0,0.6967,0.4373,0.7531,0.6791,0.6283,0.8086,1.663,0.6045,0.3826,0.7882
S доля=0.25,S,0.25,HistGB,1,20260803,0.4926,1.0,1.0,0.7749,0.4154,0.7798,0.693,0.6458,0.8142,1.636,0.6615,0.469,0.8163
S доля=0.4,S,0.4,HistGB,1,20260803,0.4246,1.0,1.0,1.0,0.4466,0.7429,0.6671,0.6859,0.8254,1.707,0.6843,0.4069,0.8097
C инверсия η=0.05,C,0.05,HistGB,1,20260803,0.4055,1.0,1.0,0.6909,0.7715,0.6509,0.6429,0.6872,0.8282,1.742,0.6865,0.4394,0.8407
C инверсия η=0.1,C,0.1,HistGB,1,20260803,0.3335,1.0,1.0,0.6587,0.791,0.4227,0.6754,0.621,0.7208,1.667,0.6353,0.3684,0.7423
C инверсия η=0.2,C,0.2,HistGB,1,20260803,0.2637,1.0,1.0,0.5732,0.8237,0.2059,0.7596,0.5213,0.5668,1.498,0.5248,0.2816,0.5661
C инверсия η=0.3,C,0.3,HistGB,1,20260803,0.207,1.0,1.0,0.435,0.8409,0.0947,0.8324,0.4121,0.4043,1.346,0.4084,0.214,0.3936
R шум σ×0.25,R,0.25,HistGB,1,20260803,0.4555,1.0,1.0,0.6165,0.7906,0.8544,0.6187,0.7125,0.8889,1.779,0.7159,0.4351,0.8538
R шум σ×0.5,R,0.5,HistGB,1,20260803,0.4442,1.0,1.0,0.5738,0.795,0.8623,0.6231,0.7036,0.8749,1.775,0.7024,0.441,0.8594
R шум σ×1.0,R,1.0,HistGB,1,20260803,0.4112,1.0,1.0,0.4937,0.8179,0.8868,0.6506,0.6948,0.8273,1.72,0.6644,0.4044,0.8266
R шум σ×1.5,R,1.5,HistGB,1,20260803,0.4098,1.0,1.0,0.4757,0.8248,0.897,0.6509,0.6918,0.8142,1.718,0.6597,0.3779,0.8013
R шум σ×2.0,R,2.0,HistGB,1,20260803,0.3607,1.0,1.0,0.4664,0.8174,0.8827,0.6441,0.6823,0.8039,1.742,0.6652,0.429,0.806
D невозможный АМГ,D,0.1,HistGB,1,20260803,0.4502,0.0,1.0,0.7516,0.7293,0.8848,0.6022,0.0,0.8777,1.825,0.0,0.5033,0.8791
D противоречие ИМТ,D,0.1,HistGB,1,20260803,0.4891,0.0,1.0,0.7444,0.7609,0.8524,0.6166,0.0,0.9038,1.794,0.0,0.4893,0.8969
D пропуск АМГ,D,0.2,HistGB,1,20260803,0.4823,0.0,1.0,0.7535,0.7454,0.8193,0.5971,0.0,0.9113,1.834,0.0,0.4894,0.9007
D ошибка единиц,D,0.1,HistGB,1,20260803,0.469,0.0,1.0,0.7183,0.737,0.8869,0.6008,0.0,0.8842,1.83,0.0,0.4783,0.8791
M0 эталон,—,0.0,HistGB,0,20260804,0.4989,1.0,1.0,0.7394,0.7605,0.8532,0.608,0.7349,0.9132,1.811,0.7267,0.5116,0.9016
T утечка ρ=0.1,T,0.1,HistGB,1,20260804,0.5048,1.0,0.0,0.565,0.77,0.8513,0.6296,0.0,0.902,1.76,0.0,0.4771,0.8903
T утечка ρ=0.3,T,0.3,HistGB,1,20260804,0.5529,1.0,0.0,0.631,0.7663,0.8593,0.6343,0.0,0.915,1.749,0.0,0.5321,0.9007
T утечка ρ=0.5,T,0.5,HistGB,1,20260804,0.627,1.0,0.0,0.518,0.8116,0.8244,0.6849,0.0,0.9001,1.64,0.0,0.602,0.91
T утечка ρ=0.7,T,0.7,HistGB,1,20260804,0.6862,1.0,0.0,0.454,0.8209,0.8223,0.7415,0.0,0.9309,1.518,0.0,0.6514,0.9119
T утечка ρ=0.9,T,0.9,HistGB,1,20260804,0.8827,1.0,0.0,0.1068,0.9452,0.7803,0.9463,0.0,0.9542,1.107,0.0,0.8783,0.9447
F подмена η=0.1,F,0.1,HistGB,1,20260804,0.4989,1.0,1.0,0.6736,0.7654,0.8532,0.608,0.7191,0.9132,1.811,0.7189,0.5116,0.9016
F подмена η=0.25,F,0.25,HistGB,1,20260804,0.4989,1.0,1.0,0.5624,0.7661,0.8532,0.608,0.6876,0.9132,1.811,0.675,0.5116,0.9016
F подмена η=0.5,F,0.5,HistGB,1,20260804,0.4989,1.0,1.0,0.3685,0.7638,0.8532,0.608,0.6182,0.9132,1.811,0.6121,0.5116,0.9016
F подмена η=0.75,F,0.75,HistGB,1,20260804,0.4989,1.0,1.0,0.1868,0.7624,0.8532,0.608,0.5213,0.9132,1.811,0.5196,0.5116,0.9016
F подмена η=1.0,F,1.0,HistGB,1,20260804,0.4989,1.0,1.0,0.0147,0.7537,0.8532,0.608,0.2755,0.9132,1.811,0.2747,0.5116,0.9016
S доля=0.05,S,0.05,HistGB,1,20260804,0.3969,1.0,1.0,0.737,0.6036,0.7469,0.8078,0.7198,0.7049,1.397,0.7108,0.3854,0.7057
S доля=0.1,S,0.1,HistGB,1,20260804,0.4397,1.0,1.0,0.975,0.4067,0.7185,0.6608,0.6587,0.8058,1.717,0.6521,0.4043,0.7798
S доля=0.15,S,0.15,HistGB,1,20260804,0.3483,1.0,1.0,1.0,0.3465,0.6165,0.6355,0.607,0.817,1.745,0.615,0.3776,0.8032
S доля=0.25,S,0.25,HistGB,1,20260804,0.4639,1.0,1.0,1.0,0.3944,0.7522,0.6665,0.6669,0.8469,1.711,0.6928,0.4394,0.8172
S доля=0.4,S,0.4,HistGB,1,20260804,0.4106,1.0,1.0,1.0,0.4422,0.7136,0.6743,0.6792,0.8123,1.675,0.7051,0.4187,0.8004
C инверсия η=0.05,C,0.05,HistGB,1,20260804,0.4055,1.0,1.0,0.6911,0.7775,0.6509,0.6429,0.6886,0.8282,1.742,0.6892,0.4394,0.8407
C инверсия η=0.1,C,0.1,HistGB,1,20260804,0.3335,1.0,1.0,0.6409,0.799,0.4227,0.6754,0.6183,0.7208,1.667,0.6348,0.3684,0.7423
C инверсия η=0.2,C,0.2,HistGB,1,20260804,0.2637,1.0,1.0,0.57,0.8078,0.2059,0.7596,0.518,0.5668,1.498,0.5225,0.2816,0.5661
C инверсия η=0.3,C,0.3,HistGB,1,20260804,0.207,1.0,1.0,0.4344,0.8552,0.0947,0.8324,0.4137,0.4043,1.346,0.4124,0.214,0.3936
R шум σ×0.25,R,0.25,HistGB,1,20260804,0.4513,1.0,1.0,0.6193,0.7827,0.8471,0.6231,0.7112,0.8814,1.775,0.7098,0.4414,0.8707
R шум σ×0.5,R,0.5,HistGB,1,20260804,0.4253,1.0,1.0,0.5879,0.7883,0.8516,0.618,0.7028,0.8833,1.782,0.7116,0.4274,0.8529
R шум σ×1.0,R,1.0,HistGB,1,20260804,0.3892,1.0,1.0,0.4973,0.8326,0.8869,0.646,0.6979,0.8189,1.733,0.6744,0.3685,0.8032
R шум σ×1.5,R,1.5,HistGB,1,20260804,0.3695,1.0,1.0,0.4787,0.8381,0.8955,0.6485,0.6947,0.8179,1.729,0.67,0.3917,0.7901
R шум σ×2.0,R,2.0,HistGB,1,20260804,0.3939,1.0,1.0,0.4507,0.822,0.8904,0.6533,0.6813,0.7927,1.717,0.6619,0.3706,0.7844
D невозможный АМГ,D,0.1,HistGB,1,20260804,0.4685,0.0,1.0,0.753,0.7332,0.8874,0.5968,0.0,0.8824,1.834,0.0,0.4805,0.8735
D противоречие ИМТ,D,0.1,HistGB,1,20260804,0.5016,0.0,1.0,0.7338,0.7647,0.853,0.6208,0.0,0.902,1.783,0.0,0.5065,0.895
D пропуск АМГ,D,0.2,HistGB,1,20260804,0.4776,0.0,1.0,0.7532,0.7327,0.8205,0.5974,0.0,0.9094,1.832,0.0,0.4867,0.8988
D ошибка единиц,D,0.1,HistGB,1,20260804,0.4746,0.0,1.0,0.7238,0.7509,0.8863,0.6026,0.0,0.8889,1.824,0.0,0.482,0.8669
M0 эталон,—,0.0,XGBoost,0,20260802,0.5224,1.0,1.0,0.716,0.7377,0.8532,0.6284,0.7295,0.8926,1.775,0.7248,0.4917,0.9016
T утечка ρ=0.1,T,0.1,XGBoost,1,20260802,0.5334,1.0,0.0,0.5812,0.7579,0.8593,0.6471,0.0,0.8749,1.732,0.0,0.5048,0.8866
T утечка ρ=0.3,T,0.3,XGBoost,1,20260802,0.5551,1.0,0.0,0.5548,0.7638,0.8596,0.655,0.0,0.8954,1.707,0.0,0.5348,0.91
T утечка ρ=0.5,T,0.5,XGBoost,1,20260802,0.6418,1.0,0.0,0.4756,0.7834,0.8384,0.6805,0.0,0.9066,1.647,0.0,0.5867,0.9091
T утечка ρ=0.7,T,0.7,XGBoost,1,20260802,0.7007,1.0,0.0,0.3885,0.8486,0.8367,0.758,0.0,0.9178,1.488,0.0,0.7041,0.9288
T утечка ρ=0.9,T,0.9,XGBoost,1,20260802,0.8754,1.0,0.0,0.1211,0.9506,0.7835,0.9209,0.0,0.9505,1.159,0.0,0.9049,0.9738
F подмена η=0.1,F,0.1,XGBoost,1,20260802,0.5224,1.0,1.0,0.6302,0.7416,0.8532,0.6284,0.7075,0.8926,1.775,0.7063,0.4917,0.9016
F подмена η=0.25,F,0.25,XGBoost,1,20260802,0.5224,1.0,1.0,0.5232,0.7563,0.8532,0.6284,0.6787,0.8926,1.775,0.6749,0.4917,0.9016
F подмена η=0.5,F,0.5,XGBoost,1,20260802,0.5224,1.0,1.0,0.3511,0.7549,0.8532,0.6284,0.614,0.8926,1.775,0.612,0.4917,0.9016
F подмена η=0.75,F,0.75,XGBoost,1,20260802,0.5224,1.0,1.0,0.1784,0.7412,0.8532,0.6284,0.516,0.8926,1.775,0.5137,0.4917,0.9016
F подмена η=1.0,F,1.0,XGBoost,1,20260802,0.5224,1.0,1.0,0.0136,0.747,0.8532,0.6284,0.2717,0.8926,1.775,0.274,0.4917,0.9016
