алгоритм,macro_f1_synth,Precision@3,Recall@3,Precision@5,Recall@5,SignAccuracy,топ-3
LogReg,0.7914,1.0,1.0,0.6,1.0,1.0,"АМГ, Возр пациентов, ИМТ жены"
RandomForest,0.802,0.667,0.667,0.6,1.0,1.0,"АМГ, Возр пациентов, Год рождения"
HistGB,0.781,0.667,0.667,0.6,1.0,1.0,"АМГ, Возр пациентов, Год рождения"
